country,year,sex,cause,age_group,death,
Canada,2000,males,I021,0,0,
Canada,2000,males,I022,0,2.06,
Canada,2000,males,I023,0,6.17,
Canada,2000,males,I024,0,2.06,
Canada,2000,males,I025,0,0,
Canada,2000,males,I026,0,10.28,
Canada,2000,males,I027,0,0,
Canada,2000,males,I028,0,0,
Canada,2000,males,I029,0,0,
Canada,2000,males,I030,0,36.99,
Canada,2000,males,I031,0,0,
Canada,2000,males,I032,0,0,
Canada,2000,males,I033,0,0,
Canada,2000,males,I034,0,8.220000000000000,
Canada,2000,males,I035,0,1.03,
Canada,2000,males,I036,0,1.03,
Canada,2000,males,I037,0,0,
Canada,2000,males,I038,0,0,
Canada,2000,males,I039,0,11.3,
Canada,2000,males,I040,0,2.06,
Canada,2000,males,I041,0,1.03,
Canada,2000,males,I042,0,6.17,
Canada,2000,males,I043,0,0,
Canada,2000,males,I044,0,3.08,
Canada,2000,males,I045,0,6.17,
Canada,2000,males,I046,0,0,
Canada,2000,males,I047,0,2.06,
Canada,2000,males,I048,0,2.06,
Canada,2000,males,I049,0,0,
Canada,2000,males,I050,0,591.39,
Canada,2000,males,I051,0,246.63,
Canada,2000,males,I052,0,2.06,
Canada,2000,males,I053,0,18.5,
Canada,2000,males,I054,0,0,
Canada,2000,males,I055,0,9.25,
Canada,2000,males,I056,0,4.110000000000000,
Canada,2000,females,I000,0,751,
Canada,2000,females,I001,0,2.06,
Canada,2000,females,I002,0,0,
Canada,2000,females,I003,0,1.03,
Canada,2000,females,I004,0,0,
Canada,2000,females,I005,0,0,
Canada,2000,females,I006,0,7.2,
Canada,2000,females,I007,0,0,
Canada,2000,females,I008,0,0,
Canada,2000,females,I009,0,0,
Canada,2000,females,I010,0,0,
Canada,2000,females,I011,0,0,
Canada,2000,females,I012,0,0,
Canada,2000,females,I013,0,0,
Canada,2000,females,I014,0,0,
Canada,2000,females,I015,0,0,
Canada,2000,females,I016,0,0,
Canada,2000,females,I017,0,0,
Canada,2000,females,I018,0,0,
Canada,2000,females,I019,0,0,
Canada,2000,females,I020,0,0,
Canada,2000,females,I021,0,0,
Canada,2000,females,I022,0,2.06,
Canada,2000,females,I023,0,9.25,
Canada,2000,females,I024,0,1.03,
Canada,2000,females,I025,0,0,
Canada,2000,females,I026,0,13.360000000000000,
Canada,2000,females,I027,0,0,
Canada,2000,females,I028,0,0,
Canada,2000,females,I029,0,0,
Canada,2000,females,I030,0,14.39,
Canada,2000,females,I031,0,0,
Canada,2000,females,I032,0,0,
Canada,2000,females,I033,0,1.03,
Canada,2000,females,I034,0,9.25,
Canada,2000,females,I035,0,3.08,
Canada,2000,females,I036,0,1.03,
Canada,2000,females,I037,0,0,
Canada,2000,females,I038,0,0,
Canada,2000,females,I039,0,2.06,
Canada,2000,females,I040,0,1.03,
Canada,2000,females,I041,0,0,
Canada,2000,females,I042,0,5.14,
Canada,2000,females,I043,0,0,
Canada,2000,females,I044,0,1.03,
Canada,2000,females,I045,0,7.2,
Canada,2000,females,I046,0,0,
Canada,2000,females,I047,0,0,
Canada,2000,females,I048,0,3.08,
Canada,2000,females,I049,0,0,
Canada,2000,females,I050,0,448.75,
Canada,2000,females,I051,0,191.22,
Canada,2000,females,I052,0,3.08,
Canada,2000,females,I053,0,16.45,
Canada,2000,females,I054,0,0,
Canada,2000,females,I055,0,6.17,
Canada,2000,females,I056,0,1.03,
Canada,2000,total,I000,0,1737,
Canada,2000,total,I001,0,2.06,
Canada,2000,total,I002,0,0,
Canada,2000,total,I003,0,9.25,
Canada,2000,total,I004,0,0,
Canada,2000,total,I005,0,0,
Canada,2000,total,I006,0,11.31,
Canada,2000,total,I007,0,0,
Canada,2000,total,I008,0,0,
Canada,2000,total,I009,0,0,
Canada,2000,total,I010,0,0,
Canada,2000,total,I011,0,0,
Canada,2000,total,I012,0,0,
Canada,2000,total,I013,0,0,
Canada,2000,total,I014,0,0,
Canada,2000,total,I015,0,0,
Canada,2000,total,I016,0,0,
Canada,2000,total,I017,0,0,
Canada,2000,total,I018,0,0,
Canada,2000,total,I019,0,0,
Canada,2000,total,I020,0,0,
Canada,2000,total,I021,0,0,
Canada,2000,total,I022,0,4.110000000000000,
Canada,2000,total,I023,0,15.42,
Canada,2000,total,I024,0,3.08,
Canada,2000,total,I025,0,0,
Canada,2000,total,I026,0,23.64,
Canada,2000,total,I027,0,0,
Canada,2000,total,I028,0,0,
Canada,2000,total,I029,0,0,
Canada,2000,total,I030,0,51.39,
Canada,2000,total,I031,0,0,
Canada,2000,total,I032,0,0,
Canada,2000,total,I033,0,1.03,
Canada,2000,total,I034,0,17.47,
Canada,2000,total,I035,0,4.110000000000000,
Canada,2000,total,I036,0,2.06,
Canada,2000,total,I037,0,0,
Canada,2000,total,I038,0,0,
Canada,2000,total,I039,0,13.360000000000000,
Canada,2000,total,I040,0,3.08,
Canada,2000,total,I041,0,1.03,
Canada,2000,total,I042,0,11.31,
Canada,2000,total,I043,0,0,
Canada,2000,total,I044,0,4.110000000000000,
Canada,2000,total,I045,0,13.360000000000000,
Canada,2000,total,I046,0,0,
Canada,2000,total,I047,0,2.06,
Canada,2000,total,I048,0,5.14,
Canada,2000,total,I049,0,0,
Canada,2000,total,I050,0,1040.1400000000000,
Canada,2000,total,I051,0,437.85,
Canada,2000,total,I052,0,5.14,
Canada,2000,total,I053,0,34.950000000000000,
Canada,2000,total,I054,0,0,
Canada,2000,total,I055,0,15.42,
Canada,2000,total,I056,0,5.14,
Canada,2001,males,I000,0,997,
Canada,2001,males,I001,0,0,
Canada,2001,males,I002,0,0,
Canada,2001,males,I003,0,10.25,
Canada,2001,males,I004,0,0,
Canada,2001,males,I005,0,0,
Canada,2001,males,I006,0,11.28,
Canada,2001,males,I007,0,0,
Canada,2001,males,I008,0,0,
Canada,2001,males,I009,0,0,
Canada,2001,males,I010,0,0,
Canada,2001,males,I011,0,0,
Canada,2001,males,I012,0,0,
Canada,2001,males,I013,0,0,
Canada,2001,males,I014,0,0,
Canada,2001,males,I015,0,0,
Canada,2001,males,I016,0,0,
Canada,2001,males,I017,0,0,
Canada,2001,males,I018,0,0,
Canada,2001,males,I019,0,0,
Canada,2001,males,I020,0,0,
Canada,2001,males,I021,0,0,
Canada,2001,males,I022,0,1.03,
Canada,2001,males,I023,0,6.1500000000000000,
Canada,2001,males,I024,0,1.03,
Canada,2001,males,I025,0,0,
Canada,2001,males,I026,0,13.33,
Canada,2001,males,I027,0,1.03,
Canada,2001,males,I028,0,0,
Canada,2001,males,I029,0,0,
Canada,2001,males,I030,0,23.58,
Canada,2001,males,I031,0,0,
Canada,2001,males,I032,0,0,
Canada,2001,males,I033,0,0,
Canada,2001,males,I034,0,10.25,
Canada,2001,males,I035,0,1.03,
Canada,2001,males,I036,0,0,
Canada,2001,males,I037,0,1.03,
Canada,2001,males,I038,0,0,
Canada,2001,males,I039,0,9.230000000000000,
Canada,2001,males,I040,0,2.05,
Canada,2001,males,I041,0,0,
Canada,2001,males,I042,0,5.13,
Canada,2001,males,I043,0,0,
Canada,2001,males,I044,0,3.08,
Canada,2001,males,I045,0,5.13,
Canada,2001,males,I046,0,1.03,
Canada,2001,males,I047,0,0,
Canada,2001,males,I048,0,2.05,
Canada,2001,males,I049,0,0,
Canada,2001,males,I050,0,616.14,
Canada,2001,males,I051,0,251.68,
Canada,2001,males,I052,0,2.05,
Canada,2001,males,I053,0,14.350000000000000,
Canada,2001,males,I054,0,0,
Canada,2001,males,I055,0,3.08,
Canada,2001,males,I056,0,2.05,
Canada,2001,females,I000,0,742,
Canada,2001,females,I001,0,0,
Canada,2001,females,I002,0,0,
Canada,2001,females,I003,0,2.08,
Canada,2001,females,I004,0,1.04,
Canada,2001,females,I005,0,0,
Canada,2001,females,I006,0,3.12,
Canada,2001,females,I007,0,0,
Canada,2001,females,I008,0,0,
Canada,2001,females,I009,0,0,
Canada,2001,females,I010,0,0,
Canada,2001,females,I011,0,0,
Canada,2001,females,I012,0,0,
Canada,2001,females,I013,0,0,
Canada,2001,females,I014,0,0,
Canada,2001,females,I015,0,0,
Canada,2001,females,I016,0,0,
Canada,2001,females,I017,0,0,
Canada,2001,females,I018,0,0,
Canada,2001,females,I019,0,0,
Canada,2001,females,I020,0,0,
Canada,2001,females,I021,0,0,
Canada,2001,females,I022,0,2.08,
Canada,2001,females,I023,0,4.1500000000000000,
Canada,2001,females,I024,0,0,
Canada,2001,females,I025,0,0,
Canada,2001,females,I026,0,8.31,
Canada,2001,females,I027,0,0,
Canada,2001,females,I028,0,0,
Canada,2001,females,I029,0,0,
Canada,2001,females,I030,0,18.69,
Canada,2001,females,I031,0,0,
Canada,2001,females,I032,0,0,
Canada,2001,females,I033,0,0,
Canada,2001,females,I034,0,11.42,
Canada,2001,females,I035,0,3.12,
Canada,2001,females,I036,0,2.08,
Canada,2001,females,I037,0,2.08,
Canada,2001,females,I038,0,0,
Canada,2001,females,I039,0,4.1500000000000000,
Canada,2001,females,I040,0,2.08,
Canada,2001,females,I041,0,1.04,
Canada,2001,females,I042,0,2.08,
Canada,2001,females,I043,0,0,
Canada,2001,females,I044,0,0,
Canada,2001,females,I045,0,7.2700000000000000,
Canada,2001,females,I046,0,0,
Canada,2001,females,I047,0,0,
Canada,2001,females,I048,0,2.08,
Canada,2001,females,I049,0,0,
Canada,2001,females,I050,0,452.78,
Canada,2001,females,I051,0,197.83,
Canada,2001,females,I052,0,3.12,
Canada,2001,females,I053,0,8.31,
Canada,2001,females,I054,0,0,
Canada,2001,females,I055,0,2.08,
Canada,2001,females,I056,0,1.04,
Canada,2001,total,I000,0,1739,
Canada,2001,total,I001,0,0,
Canada,2001,total,I002,0,0,
Canada,2001,total,I003,0,12.33,
Canada,2001,total,I004,0,1.04,
Canada,2001,total,I005,0,0,
Canada,2001,total,I006,0,14.39,
Canada,2001,total,I007,0,0,
Canada,2001,total,I008,0,0,
Canada,2001,total,I009,0,0,
Canada,2001,total,I010,0,0,
Canada,2001,total,I011,0,0,
Canada,2001,total,I012,0,0,
Canada,2001,total,I013,0,0,
Canada,2001,total,I014,0,0,
Canada,2001,total,I015,0,0,
Canada,2001,total,I016,0,0,
Canada,2001,total,I017,0,0,
Canada,2001,total,I018,0,0,
Canada,2001,total,I019,0,0,
Canada,2001,total,I020,0,0,
Canada,2001,total,I021,0,0,
Canada,2001,total,I022,0,3.1,
Canada,2001,total,I023,0,10.31,
Canada,2001,total,I024,0,1.03,
Canada,2001,total,I025,0,0,
Canada,2001,total,I026,0,21.64,
Canada,2001,total,I027,0,1.03,
Canada,2001,total,I028,0,0,
Canada,2001,total,I029,0,0,
Canada,2001,total,I030,0,42.27,
Canada,2001,total,I031,0,0,
Canada,2001,total,I032,0,0,
Canada,2001,total,I033,0,0,
Canada,2001,total,I034,0,21.68,
Canada,2001,total,I035,0,4.14,
Canada,2001,total,I036,0,2.08,
Canada,2001,total,I037,0,3.1,
Canada,2001,total,I038,0,0,
Canada,2001,total,I039,0,13.38,
Canada,2001,total,I040,0,4.13,
Canada,2001,total,I041,0,1.04,
Canada,2001,total,I042,0,7.2,
Canada,2001,total,I043,0,0,
Canada,2001,total,I044,0,3.08,
Canada,2001,total,I045,0,12.4,
Canada,2001,total,I046,0,1.03,
Canada,2001,total,I047,0,0,
Canada,2001,total,I048,0,4.13,
Canada,2001,total,I049,0,0,
Canada,2001,total,I050,0,1068.92,
Canada,2001,total,I051,0,449.52,
Canada,2001,total,I052,0,5.17,
Canada,2001,total,I053,0,22.66,
Canada,2001,total,I054,0,0,
Canada,2001,total,I055,0,5.1500000000000000,
Canada,2001,total,I056,0,3.09,
Canada,2002,males,I000,0,980,
Canada,2002,males,I001,0,3.11,
Canada,2002,males,I002,0,0,
Canada,2002,males,I003,0,9.33,
Canada,2002,males,I004,0,0,
Canada,2002,males,I005,0,0,
Canada,2002,males,I006,0,5.1900000000000000,
Canada,2002,males,I007,0,0,
Canada,2002,males,I008,0,0,
Canada,2002,males,I009,0,0,
Canada,2002,males,I010,0,0,
Canada,2002,males,I011,0,0,
Canada,2002,males,I012,0,0,
Canada,2002,males,I013,0,0,
Canada,2002,males,I014,0,0,
Canada,2002,males,I015,0,0,
Canada,2002,males,I016,0,0,
Canada,2002,males,I017,0,0,
Canada,2002,males,I018,0,0,
Canada,2002,males,I019,0,0,
Canada,2002,males,I020,0,0,
Canada,2002,males,I021,0,0,
Canada,2002,males,I022,0,2.07,
Canada,2002,males,I023,0,4.1500000000000000,
Canada,2002,males,I024,0,3.11,
Canada,2002,males,I025,0,0,
Canada,2002,males,I026,0,15.56,
Canada,2002,males,I027,0,0,
Canada,2002,males,I028,0,0,
Canada,2002,males,I029,0,0,
Canada,2002,males,I030,0,23.85,
Canada,2002,males,I031,0,0,
Canada,2002,males,I032,0,0,
Canada,2002,males,I033,0,0,
Canada,2002,males,I034,0,9.33,
Canada,2002,males,I035,0,6.22,
Canada,2002,males,I036,0,1.04,
Canada,2002,males,I037,0,3.11,
Canada,2002,males,I038,0,0,
Canada,2002,males,I039,0,4.1500000000000000,
Canada,2002,males,I040,0,4.1500000000000000,
Canada,2002,males,I041,0,1.04,
Canada,2002,males,I042,0,5.1900000000000000,
Canada,2002,males,I043,0,0,
Canada,2002,males,I044,0,2.07,
Canada,2002,males,I045,0,9.33,
Canada,2002,males,I046,0,0,
Canada,2002,males,I047,0,0,
Canada,2002,males,I048,0,2.07,
Canada,2002,males,I049,0,0,
Canada,2002,males,I050,0,609.7800000000000,
Canada,2002,males,I051,0,225.04,
Canada,2002,males,I052,0,2.07,
Canada,2002,males,I053,0,20.74,
Canada,2002,males,I054,0,0,
Canada,2002,males,I055,0,4.1500000000000000,
Canada,2002,males,I056,0,4.1500000000000000,
Canada,2002,females,I000,0,782,
Canada,2002,females,I001,0,2.07,
Canada,2002,females,I002,0,0,
Canada,2002,females,I003,0,3.1,
Canada,2002,females,I004,0,0,
Canada,2002,females,I005,0,1.03,
Canada,2002,females,I006,0,4.13,
Canada,2002,females,I007,0,0,
Canada,2002,females,I008,0,0,
Canada,2002,females,I009,0,0,
Canada,2002,females,I010,0,0,
Canada,2002,females,I011,0,0,
Canada,2002,females,I012,0,0,
Canada,2002,females,I013,0,0,
Canada,2002,females,I014,0,0,
Canada,2002,females,I015,0,0,
Canada,2002,females,I016,0,0,
Canada,2002,females,I017,0,0,
Canada,2002,females,I018,0,0,
Canada,2002,females,I019,0,0,
Canada,2002,females,I020,0,0,
Canada,2002,females,I021,0,0,
Canada,2002,females,I022,0,1.03,
Canada,2002,females,I023,0,6.2,
Canada,2002,females,I024,0,3.1,
Canada,2002,females,I025,0,0,
Canada,2002,females,I026,0,13.43,
Canada,2002,females,I027,0,0,
Canada,2002,females,I028,0,0,
Canada,2002,females,I029,0,0,
Canada,2002,females,I030,0,15.5,
Canada,2002,females,I031,0,0,
Canada,2002,females,I032,0,0,
Canada,2002,females,I033,0,0,
Canada,2002,females,I034,0,9.3,
Canada,2002,females,I035,0,3.1,
Canada,2002,females,I036,0,0,
Canada,2002,females,I037,0,0,
Canada,2002,females,I038,0,0,
Canada,2002,females,I039,0,7.23,
Canada,2002,females,I040,0,3.1,
Canada,2002,females,I041,0,0,
Canada,2002,females,I042,0,2.07,
Canada,2002,females,I043,0,0,
Canada,2002,females,I044,0,2.07,
Canada,2002,females,I045,0,5.17,
Canada,2002,females,I046,0,0,
Canada,2002,females,I047,0,1.03,
Canada,2002,females,I048,0,3.1,
Canada,2002,females,I049,0,0,
Canada,2002,females,I050,0,455.56,
Canada,2002,females,I051,0,216.94,
Canada,2002,females,I052,0,3.1,
Canada,2002,females,I053,0,14.46,
Canada,2002,females,I054,0,0,
Canada,2002,females,I055,0,5.17,
Canada,2002,females,I056,0,1.03,
Canada,2002,total,I000,0,1762,
Canada,2002,total,I001,0,5.18,
Canada,2002,total,I002,0,0,
Canada,2002,total,I003,0,12.43,
Canada,2002,total,I004,0,0,
Canada,2002,total,I005,0,1.03,
Canada,2002,total,I006,0,9.32,
Canada,2002,total,I007,0,0,
Canada,2002,total,I008,0,0,
Canada,2002,total,I009,0,0,
Canada,2002,total,I010,0,0,
Canada,2002,total,I011,0,0,
Canada,2002,total,I012,0,0,
Canada,2002,total,I013,0,0,
Canada,2002,total,I014,0,0,
Canada,2002,total,I015,0,0,
Canada,2002,total,I016,0,0,
Canada,2002,total,I017,0,0,
Canada,2002,total,I018,0,0,
Canada,2002,total,I019,0,0,
Canada,2002,total,I020,0,0,
Canada,2002,total,I021,0,0,
Canada,2002,total,I022,0,3.11,
Canada,2002,total,I023,0,10.350000000000000,
Canada,2002,total,I024,0,6.21,
Canada,2002,total,I025,0,0,
Canada,2002,total,I026,0,28.980000000000000,
Canada,2002,total,I027,0,0,
Canada,2002,total,I028,0,0,
Canada,2002,total,I029,0,0,
Canada,2002,total,I030,0,39.350000000000000,
Canada,2002,total,I031,0,0,
Canada,2002,total,I032,0,0,
Canada,2002,total,I033,0,0,
Canada,2002,total,I034,0,18.630000000000000,
Canada,2002,total,I035,0,9.32,
Canada,2002,total,I036,0,1.04,
Canada,2002,total,I037,0,3.11,
Canada,2002,total,I038,0,0,
Canada,2002,total,I039,0,11.38,
Canada,2002,total,I040,0,7.25,
Canada,2002,total,I041,0,1.04,
Canada,2002,total,I042,0,7.25,
Canada,2002,total,I043,0,0,
Canada,2002,total,I044,0,4.14,
Canada,2002,total,I045,0,14.5,
Canada,2002,total,I046,0,0,
Canada,2002,total,I047,0,1.03,
Canada,2002,total,I048,0,5.17,
Canada,2002,total,I049,0,0,
Canada,2002,total,I050,0,1065.34,
Canada,2002,total,I051,0,441.97000000000000,
Canada,2002,total,I052,0,5.17,
Canada,2002,total,I053,0,35.2,
Canada,2002,total,I054,0,0,
Canada,2002,total,I055,0,9.31,
Canada,2002,total,I056,0,5.18,
Canada,2003,males,I000,0,983,
Canada,2003,males,I001,0,1.04,
Canada,2003,males,I002,0,0,
Canada,2003,males,I003,0,4.1500000000000000,
Canada,2003,males,I004,0,0,
Canada,2003,males,I005,0,0,
Canada,2003,males,I006,0,7.2700000000000000,
Canada,2003,males,I007,0,0,
Canada,2003,males,I008,0,0,
Canada,2003,males,I009,0,0,
Canada,2003,males,I010,0,0,
Canada,2003,males,I011,0,0,
Canada,2003,males,I012,0,0,
Canada,2003,males,I013,0,0,
Canada,2003,males,I014,0,0,
Canada,2003,males,I015,0,0,
Canada,2003,males,I016,0,0,
Canada,2003,males,I017,0,0,
Canada,2003,males,I018,0,0,
Canada,2003,males,I019,0,0,
Canada,2003,males,I020,0,0,
Canada,2003,males,I021,0,1.04,
Canada,2003,males,I022,0,1.04,
Canada,2003,males,I023,0,1.04,
Canada,2003,males,I024,0,5.1900000000000000,
Canada,2003,males,I025,0,0,
Canada,2003,males,I026,0,11.42,
Canada,2003,males,I027,0,0,
Canada,2003,males,I028,0,0,
Canada,2003,males,I029,0,0,
Canada,2003,males,I030,0,21.8,
Canada,2003,males,I031,0,1.04,
Canada,2003,males,I032,0,0,
Canada,2003,males,I033,0,0,
Canada,2003,males,I034,0,12.46,
Canada,2003,males,I035,0,2.08,
Canada,2003,males,I036,0,4.1500000000000000,
Canada,2003,males,I037,0,0,
Canada,2003,males,I038,0,0,
Canada,2003,males,I039,0,6.23,
Canada,2003,males,I040,0,0,
Canada,2003,males,I041,0,0,
Canada,2003,males,I042,0,6.23,
Canada,2003,males,I043,0,0,
Canada,2003,males,I044,0,4.1500000000000000,
Canada,2003,males,I045,0,8.3,
Canada,2003,males,I046,0,0,
Canada,2003,males,I047,0,0,
Canada,2003,males,I048,0,4.1500000000000000,
Canada,2003,males,I049,0,0,
Canada,2003,males,I050,0,630.07,
Canada,2003,males,I051,0,232.52,
Canada,2003,males,I052,0,2.08,
Canada,2003,males,I053,0,11.42,
Canada,2003,males,I054,0,0,
Canada,2003,males,I055,0,3.11,
Canada,2003,males,I056,0,1.04,
Canada,2003,females,I000,0,782,
Canada,2003,females,I001,0,0,
Canada,2003,females,I002,0,0,
Canada,2003,females,I003,0,5.17,
Canada,2003,females,I004,0,0,
Canada,2003,females,I005,0,0,
Canada,2003,females,I006,0,9.31,
Canada,2003,females,I007,0,0,
Canada,2003,females,I008,0,0,
Canada,2003,females,I009,0,0,
Canada,2003,females,I010,0,0,
Canada,2003,females,I011,0,0,
Canada,2003,females,I012,0,2.07,
Canada,2003,females,I013,0,0,
Canada,2003,females,I014,0,0,
Canada,2003,females,I015,0,0,
Canada,2003,females,I016,0,0,
Canada,2003,females,I017,0,0,
Canada,2003,females,I018,0,0,
Canada,2003,females,I019,0,0,
Canada,2003,females,I020,0,0,
Canada,2003,females,I021,0,0,
Canada,2003,females,I022,0,2.07,
Canada,2003,females,I023,0,2.07,
Canada,2003,females,I024,0,4.14,
Canada,2003,females,I025,0,0,
Canada,2003,females,I026,0,5.17,
Canada,2003,females,I027,0,0,
Canada,2003,females,I028,0,0,
Canada,2003,females,I029,0,0,
Canada,2003,females,I030,0,16.55,
Canada,2003,females,I031,0,0,
Canada,2003,females,I032,0,1.03,
Canada,2003,females,I033,0,1.03,
Canada,2003,females,I034,0,5.17,
Canada,2003,females,I035,0,1.03,
Canada,2003,females,I036,0,3.1,
Canada,2003,females,I037,0,0,
Canada,2003,females,I038,0,0,
Canada,2003,females,I039,0,6.21,
Canada,2003,females,I040,0,1.03,
Canada,2003,females,I041,0,1.03,
Canada,2003,females,I042,0,0,
Canada,2003,females,I043,0,0,
Canada,2003,females,I044,0,0,
Canada,2003,females,I045,0,4.14,
Canada,2003,females,I046,0,0,
Canada,2003,females,I047,0,0,
Canada,2003,females,I048,0,2.07,
Canada,2003,females,I049,0,0,
Canada,2003,females,I050,0,486.16,
Canada,2003,females,I051,0,205.84,
Canada,2003,females,I052,0,2.07,
Canada,2003,females,I053,0,10.34,
Canada,2003,females,I054,0,0,
Canada,2003,females,I055,0,5.17,
Canada,2003,females,I056,0,0,
Canada,2003,total,I000,0,1765,
Canada,2003,total,I001,0,1.04,
Canada,2003,total,I002,0,0,
Canada,2003,total,I003,0,9.32,
Canada,2003,total,I004,0,0,
Canada,2003,total,I005,0,0,
Canada,2003,total,I006,0,16.58,
Canada,2003,total,I007,0,0,
Canada,2003,total,I008,0,0,
