Country,FertilityRate_1960,FertilityRate_2023
"Somalia, Fed. Rep.",7.25,6.132
Serbia,2.155,1.61
South Sudan,7.161,3.864
Sub-Saharan Africa,6.57175107156462,4.33242043176509
Small states,5.04865766924653,2.12274160818728
Sao Tome and Principe,6.242,3.644
Suriname,6.59,2.249
Slovak Republic,3.04,1.49
Slovenia,2.185,1.51
Sweden,2.17,1.45
Eswatini,6.752,2.753
Sint Maarten (Dutch part),4.767,1.447
Seychelles,5.313,2.02
Syrian Arab Republic,7.505,2.712
Turks and Caicos Islands,5.991,1.463
Chad,6.25,6.12
East Asia & Pacific (IDA & IBRD countries),4.85337152270027,1.35619349886656
Europe & Central Asia (IDA & IBRD countries),3.11774782563366,1.72759819616869
Togo,6.797,4.192
Thailand,6.325,1.212
Tajikistan,6.235,3.072
Turkmenistan,6.59,2.69
Latin America & the Caribbean (IDA & IBRD countries),5.94699989004709,1.80414192300781
Timor-Leste,6.319,2.707
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",6.98920934561558,3.08266683185516
Tonga,6.651,3.129
South Asia (IDA & IBRD),5.99643314493816,1.99556441998933
Sub-Saharan Africa (IDA & IBRD countries),6.57175107156462,4.33242043176509
Trinidad and Tobago,5.405,1.532
Tunisia,7.157,1.832
Turkiye,6.383,1.51
Tuvalu,5.146,3.208
Tanzania,6.536,4.606
Uganda,6.905,4.283
Ukraine,2.285,0.977
Uruguay,2.827,1.409
United States,3.654,1.6165
Uzbekistan,6.613,3.5
St. Vincent and the Grenadines,7.247,1.775
"Venezuela, RB",6.382,2.079
British Virgin Islands,4.812,1.045
Virgin Islands (U.S.),5.149,1.98
Viet Nam,6.273,1.913
Vanuatu,6.784,3.596
Samoa,7.779,3.829
Kosovo,6.359,1.545
"Yemen, Rep.",7.988,4.59
South Africa,6.105,2.216
Zambia,6.947,4.101
Zimbabwe,7.195,3.724
